Voltage (V),Current (Amps) *10^-13,,Voltage(V),Current (Amps)*10^-10,,,,,,,,,Voltage (V)1,Current (Amps)1,*10^-12,,,,,,,Voltage (V)2,Current (Amps)2,*10^-12,,,,,,,,Voltage (V)3,Current (Amps)3,*10^-12,,,,,,,,Voltage (V)4,Current (Amps)4,*10^-12,,,,,,,Voltage (V)5,Current (Amps)5,*10^-12,Voltage (V)6,Current (Amps)6,*10^-11,Voltage (V)7,Current (Amps)7,*10^-11,Voltage (V)8,Current (Amps)8,*10^-11,,Voltage (V)9,Current (Amps)9,*10^-11,Voltage (V)10,Current (Amps)10,*10^-11,Voltage (V)11,Current (Amps)11,*10^-10,Voltage (V)12,Current (Amps)12,,Voltage (V)13,Current (Amps)13,,Voltage (V)14,Current (Amps)14,,Voltage (V)15,Current (Amps)15
0,5,,0,59,,,,,,,,,-4,-204,,,,,,,,-4,-199,,,,,,,,,-4,-12,,,,,,,,,-4,-14,,,,,,,,-4,-14,,-4,-14,,-4,-13,,-4,-13,,,-4,-13,,-4,-13,,-4,-13,,-4,-13,,-4,-13,,-4,-13,,-4,-12
0.5,5,,0.5,87,,,,,,,,,-3.75,-202,,,,,,,,-3.75,-199,,,,,,,,,-3.75,-14,,,,,,,,,-3.75,-14,,,,,,,,-3.75,-14,,-3.75,-14,,-3.75,-13,,-3.75,-13,,,-3.75,-13,,-3.75,-13,,-3.75,-13,,-3.75,-13,,-3.75,-13,,-3.75,-13,,-3.75,-12
1,5,,1,119,,,,,,,,,-3.5,-202,,,,,,,,-3.5,-199,,,,,,,,,-3.5,-14,,,,,,,,,-3.5,-14,,,,,,,,-3.5,-14,,-3.5,-14,,-3.5,-13,,-3.5,-13,,,-3.5,-13,,-3.5,-13,,-3.5,-13,,-3.5,-13,,-3.5,-13,,-3.5,-13,,-3.5,-12
1.5,6,,1.5,157,,,,,,,,,-3.25,-201,,,,,,,,-3.25,-199,,,,,,,,,-3.25,-14,,,,,,,,,-3.25,-14,,,,,,,,-3.25,-14,,-3.25,-14,,-3.25,-13,,-3.25,-13,,,-3.25,-13,,-3.25,-13,,-3.25,-13,,-3.25,-13,,-3.25,-13,,-3.25,-13,,-3.25,-12
2,6,,2,195,,,,,,,,,-3,-201,,,,,,,,-3,-199,,,,,,,,,-3,-14,,,,,,,,,-3,-13,,,,,,,,-3,-14,,-3,-14,,-3,-13,,-3,-13,,,-3,-13,,-3,-13,,-3,-13,,-3,-13,,-3,-13,,-3,-13,,-3,-12
2.5,6,,2.5,228,,,,,,,,,-2.75,-201,,,,,,,,-2.75,-198,,,,,,,,,-2.75,-14,,,,,,,,,-2.75,-13,,,,,,,,-2.75,-14,,-2.75,-14,,-2.75,-13,,-2.75,-13,,,-2.75,-13,,-2.75,-13,,-2.75,-13,,-2.75,-12,,-2.75,-13,,-2.75,-13,,-2.75,-12
3,6,,3,256,,,,,,,,,-2.5,-201,,,,,,,,-2.5,-199,,,,,,,,,-2.5,-14,,,,,,,,,-2.5,-13,,,,,,,,-2.5,-14,,-2.5,-14,,-2.5,-13,,-2.5,-13,,,-2.5,-13,,-2.5,-13,,-2.5,-13,,-2.5,-12,,-2.5,-13,,-2.5,-13,,-2.5,-12
3.5,6,,3.5,288,,,,,,,,,-2.25,-201,,,,,,,,-2.25,-198,,,,,,,,,-2.25,-13,,,,,,,,,-2.25,-13,,,,,,,,-2.25,-14,,-2.25,-14,,-2.25,-13,,-2.25,-13,,,-2.25,-13,,-2.25,-13,,-2.25,-13,,-2.25,-12,,-2.25,-13,,-2.25,-13,,-2.25,-12
4,6,,4,316,,,,,,,,,-2,-200,,,,,,,,-2,-198,,,,,,,,,-2,-13,,,,,,,,,-2,-13,,,,,,,,-2,-14,,-2,-13,,-2,-12,,-2,-12,,,-2,-13,,-2,-13,,-2,-13,,-2,-12,,-2,-13,,-2,-12,,-2,-12
4.5,6,,4.5,343,,,,,,,,,-1.75,-195,,,,,,,,-1.75,-198,,,,,,,,,-1.75,-13,,,,,,,,,-1.75,-13,,,,,,,,-1.75,-14,,-1.75,-12,,-1.75,-12,,-1.75,-12,,,-1.75,-13,,-1.75,-13,,-1.75,-13,,-1.75,-12,,-1.75,-13,,-1.75,-12,,-1.75,-12
5,6,,5,373,,,,,,,,,-1.5,-167,,,,,,,,-1.5,-198,,,,,,,,,-1.5,-13,,,,,,,,,-1.5,-13,,,,,,,,-1.5,-14,,-1.5,0,,-1.5,-12,,-1.5,-12,,,-1.5,-13,,-1.5,-13,,-1.5,-8,,-1.5,-12,,-1.5,-12,,-1.5,-12,,-1.5,-12
5.5,6,,5.5,400,,,,,,,,,-1.25,-130,,,,,,,,-1.25,-193,,,,,,,,,-1.25,-12,,,,,,,,,-1.25,-13,,,,,,,,-1.25,-14,,-1.25,12,,-1.25,-10,,-1.25,-10,,,-1.25,-13,,-1.25,-12,,-1.25,-3,,-1.25,-11,,-1.25,-12,,-1.25,-12,,-1.25,-12
6,7,,6,423,,,,,,,,,-1,-92,,,,,,,,-1,-180,,,,,,,,,-1,2,,,,,,,,,-1,-13,,,,,,,,-1,-14,,-1,25,,-1,-5,,-1,-5,,,-1,-13,,-1,-12,,-1,2,,-1,-11,,-1,-10,,-1,-12,,-1,-11
6.5,7,,6.5,444,,,,,,,,,-0.75,-46,,,,,,,,-0.75,-167,,,,,,,,,-0.75,24,,,,,,,,,-0.75,-11,,,,,,,,-0.75,-13,,-0.75,44,,-0.75,0,,-0.75,0,,,-0.75,-12,,-0.75,-12,,-0.75,9,,-0.75,-8,,-0.75,-7,,-0.75,-12,,-0.75,-11
7,7,,7,463,,,,,,,,,-0.5,9,,,,,,,,-0.5,-151,,,,,,,,,-0.5,48,,,,,,,,,-0.5,20,,,,,,,,-0.5,-1,,-0.5,65,,-0.5,5,,-0.5,5,,,-0.5,-1,,-0.5,-9,,-0.5,18,,-0.5,-5,,-0.5,-3,,-0.5,-8,,-0.5,-11
7.5,7,,7.5,480,,,,,,,,,-0.25,75,,,,,,,,-0.25,-131,,,,,,,,,-0.25,80,,,,,,,,,-0.25,79,,,,,,,,-0.25,39,,-0.25,92,,-0.25,13,,-0.25,13,,,-0.25,20,,-0.25,6,,-0.25,28,,-0.25,-2,,-0.25,1,,-0.25,0,,-0.25,-5
8,7,,8,498,,,,,,,,,0,150,,,,,,,,0,-106,,,,,,,,,0,116,,,,,,,,,0,154,,,,,,,,0,101,,0,126,,0,23,,0,23,,,0,51,,0,29,,0,40,,0,0,,0,7,,0,12,,0,2
8.5,7,,8.5,514,,,,,,,,,0.25,243,,,,,,,,0.25,-81,,,,,,,,,0.25,156,,,,,,,,,0.25,230,,,,,,,,0.25,158,,0.25,161,,0.25,34,,0.25,34,,,0.25,86,,0.25,55,,0.25,54,,0.25,5,,0.25,13,,0.25,24,,0.25,12
9,7,,9,530,,,,,,,,,0.5,335,,,,,,,,0.5,-51,,,,,,,,,0.5,201,,,,,,,,,0.5,312,,,,,,,,0.5,236,,0.5,199,,0.5,45,,0.5,45,,,0.5,117,,0.5,82,,0.5,69,,0.5,9,,0.5,20,,0.5,36,,0.5,23
9.5,7,,9.5,542,,,,,,,,,0.75,431,,,,,,,,0.75,-22,,,,,,,,,0.75,250,,,,,,,,,0.75,397,,,,,,,,0.75,309,,0.75,238,,0.75,57,,0.75,57,,,0.75,153,,0.75,109,,0.75,85,,0.75,14,,0.75,28,,0.75,48,,0.75,32
10,7,,10,555,,,,,,,,,1,536,,,,,,,,1,11,,,,,,,,,1,300,,,,,,,,,1,476,,,,,,,,1,369,,1,281,,1,71,,1,71,,,1,185,,1,133,,1,104,,1,20,,1,36,,1,60,,1,41
,,,,,,,,,,,,,1.25,653,,,,,,,,1.25,43,,,,,,,,,1.25,354,,,,,,,,,1.25,544,,,,,,,,1.25,423,,1.25,330,,1.25,85,,1.25,85,,,1.25,215,,1.25,155,,1.25,123,,1.25,26,,1.25,44,,1.25,70,,1.25,49
,,,,,,,,,,,,,1.5,772,,,,,,,,1.5,76,,,,,,,,,1.5,401,,,,,,,,,1.5,615,,,,,,,,1.5,488,,1.5,382,,1.5,100,,1.5,100,,,1.5,243,,1.5,179,,1.5,144,,1.5,32,,1.5,52,,1.5,80,,1.5,58
,,,,,,,,,,,,,1.75,889,,,,,,,,1.75,107,,,,,,,,,1.75,446,,,,,,,,,1.75,699,,,,,,,,1.75,558,,1.75,435,,1.75,113,,1.75,113,,,1.75,276,,1.75,205,,1.75,166,,1.75,37,,1.75,59,,1.75,91,,1.75,67
,,,,,,,,,,,,,2,999,,,,,,,,2,132,,,,,,,,,2,486,,,,,,,,,2,769,,,,,,,,2,625,,2,490,,2,126,,2,126,,,2,310,,2,230,,2,185,,2,42,,2,66,,2,102,,2,79
,,,,,,,,,,,,,2.25,1105,,,,,,,,2.25,155,,,,,,,,,2.25,523,,,,,,,,,2.25,845,,,,,,,,2.25,693,,2.25,540,,2.25,137,,2.25,137,,,2.25,340,,2.25,254,,2.25,205,,2.25,45,,2.25,72,,2.25,112,,2.25,87
,,,,,,,,,,,,,2.5,1216,,,,,,,,2.5,180,,,,,,,,,2.5,570,,,,,,,,,2.5,914,,,,,,,,2.5,748,,2.5,591,,2.5,146,,2.5,146,,,2.5,372,,2.5,273,,2.5,223,,2.5,50,,2.5,78,,2.5,123,,2.5,95
,,,,,,,,,,,,,2.75,1314,,,,,,,,2.75,207,,,,,,,,,2.75,611,,,,,,,,,2.75,1001,,,,,,,,2.75,779,,2.75,637,,2.75,156,,2.75,156,,,2.75,399,,2.75,288,,2.75,242,,2.75,54,,2.75,84,,2.75,131,,2.75,100
,,,,,,,,,,,,,3,1405,,,,,,,,3,233,,,,,,,,,3,651,,,,,,,,,3,1048,,,,,,,,3,810,,3,678,,3,166,,3,166,,,3,420,,3,299,,3,258,,3,58,,3,91,,3,138,,3,105
,,,,,,,,,,,,,3.25,1497,,,,,,,,3.25,260,,,,,,,,,3.25,693,,,,,,,,,3.25,1091,,,,,,,,3.25,840,,3.25,720,,3.25,178,,3.25,178,,,3.25,438,,3.25,311,,3.25,273,,3.25,62,,3.25,98,,3.25,143,,3.25,110
,,,,,,,,,,,,,3.5,1592,,,,,,,,3.5,285,,,,,,,,,3.5,744,,,,,,,,,3.5,1133,,,,,,,,3.5,870,,3.5,758,,3.5,189,,3.5,189,,,3.5,455,,3.5,322,,3.5,286,,3.5,67,,3.5,105,,3.5,146,,3.5,114
,,,,,,,,,,,,,3.75,1689,,,,,,,,3.75,315,,,,,,,,,3.75,793,,,,,,,,,3.75,1174,,,,,,,,3.75,894,,3.75,798,,3.75,202,,3.75,202,,,3.75,471,,3.75,332,,3.75,300,,3.75,72,,3.75,112,,3.75,146,,3.75,118
,,,,,,,,,,,,,4,1788,,,,,,,,4,347,,,,,,,,,4,838,,,,,,,,,4,1209,,,,,,,,4,917,,4,834,,4,214,,4,214,,,4,487,,4,340,,4,314,,4,76,,4,119,,4,148,,4,122